borough,affordable
Barking and Dagenham,80
Barnet,140
Bexley,70
Brent,190
Bromley,30
Camden,140
City of London,0
Croydon,260
Ealing,130
Enfield,100
Greenwich,200
Hackney,170
Hammersmith and Fulham,110
Haringey,140
Harrow,10
Havering,40
Hillingdon,60
Hounslow,230
Islington,120
Kensington and Chelsea,30
Kingston upon Thames,30
Lambeth,190
Lewisham,310
Merton,50
Newham,80
Redbridge,80
Richmond upon Thames,50
Southwark,380
Sutton,20
Tower Hamlets,420
Waltham Forest,190
Wandsworth,180
Westminster,110
