year,aprovals
Jan '18,65747
Aug '18,67210
Sep '18,65955
Oct '18,66981
Nov '18,64026
Dec '18,63658
Jan '19,65263
Jun '19,66775
Jul '19,68391
Aug '19,66946
Sep '19,66347
Oct '19,64949
Nov '19,64838
Dec '19,66429
Jan '20,69685
Feb '20,73043
Mar '20,56945
Apr '20,15831
May '20,9301
Jun '20,40475
Jul '20,68158
Aug '20,86717
Sep '20,92682
Oct '20,98678
Nov '20,104547
Dec '20,101620
Jan '21,97468
Feb '21,87440
Mar '21,82635
Apr '21,85326
May '21,85961
Jun '21,79896
Jul '21,75476
Aug '21,73455
Sep '21,71851
Oct '21,67199
