borough,population 
Barking and Dagenham,214107
Barnet,399005
Bexley,249303
Brent ,327754
Bromley,332754
Camden ,279514
City of London,10938
Croydon ,388559
Ealing,340342
Enfield,333589
Greenwich,289033
Hackney,280942
Hammersmith and Fulham,183548
Haringey,266362
Harrow ,252336
Havering,260650
Hillingdon,309012
Hounslow,271772
Islington,248114
Kensington and Chelsea,156864
Kingston upon Thames,179142
Lambeth,321813
Lewisham,305306
Merton,206455
Newham,355265
Redbridge,305658
Richmond upon Thames,198143
Southwark,320018
Sutton,207707
Tower Hamlets,331968
Waltham Forest,276944
Wandsworth,329736
Westminster,269853
