GSSCode,vh2004,vh2005,vh2006,vh2007,vh2008,vh2009,vh2010,vh2011,vh2012,vh2013,vh2014,vh2015,vh2016,vh2017,vh2018,vh2019,vh2020,vh2021
E12000001,45732,47598,48287,48099,50375,47243,46399,45269,44674,40411,40708,40784,40579,43617,44672,44566,43735,40899
E12000002,128835,132543,137253,141186,144907,142456,136456,130623,124856,114882,109485,105698,103397,102847,104900,104738,104898,100493
E12000003,86300,85686,90947,101091,102582,98604,92819,91478,88933,81322,77117,74841,72453,73728,75656,76191,75188,72955
E12000004,59087,63225,65458,70084,71488,70488,67480,66406,64503,57317,55737,54270,52609,52562,55755,56909,58109,57315
E12000005,80944,77435,79208,80401,83320,77812,74876,73452,72836,65490,63991,63181,60559,62919,64309,66322,70024,69135
E12000006,65665,66799,68509,69107,72773,73148,69651,68835,69053,61741,58197,57336,57139,58831,64009,65851,68967,66269
E12000007,86733,85571,86701,84627,84126,85062,79971,74310,72101,59313,56715,59881,58096,62366,67055,71666,80295,87731
E12000008,97804,100480,102812,101809,102884,103426,98996,99606,98391,89010,84666,82477,84096,86693,92194,96128,98561,96219
E12000009,59835,64172,65756,66915,70664,72257,70499,69373,69009,65641,63507,61711,60838,62328,65903,65743,65851,62009
E92000001,710935,723509,744931,763319,783119,770496,737147,719352,704356,635127,610123,600179,589766,605891,634453,648114,665628,653025
